classNbr,subj,crs,courseTitle,sbc,cmp,sctn,credits,day,startTime,endTime,location,id,likes,avgGrade,semesters,past_instructors,recent_two_instructors,most_recent_instructor
56521,CSE,306,Operating System,"Partially: ESI, EXP+, SBS+, STEM+",LEC,90,3,TUTH,12:30 PM,1:50 PM,B204,,,,,,,
96966,CSE,354,Natural Language Processing,NaN,LEC,90,3,TUTH,3:30 PM,4:50 PM,B313,,,,,,,
"95572, ?, 92341, 52148",CSE,416,Software Engineering,"Partially: ESI, EXP+, SBS+, STEM+",LEC,90,3,"TUTH, TUTH, TUTH, TUTH","2:00 PM, 10:30 AM, 2:00 PM, 5:00 PM","3:20 PM, 11:50 AM, 3:20 PM, 6:20 PM","B203, B313, A116, B105",,,,,,,
,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,,3,"APPT, APPT, APPT","-, -, -","-, -, -","-, -, -",,,,,,,
,CSE,523,Advanced Project in Computer Science I,NaN,TUT,,3,"APPT, APPT, APPT","-, -, -","-, -, -","-, -, -",,,,,,,
"95626, 54823, 92368, 52201",CSE,646,Seminar in Artificial Intelligence,NaN,SEM,S90,1,"TU, TU, TU, TU","6:30 PM, 6:30 PM, 6:30 PM, 6:30 PM","7:50 PM, 7:50 PM, 7:50 PM, 7:50 PM","-, -, B204, B204",,,,,,,
"95414, 54824, 92240, 52202",CSE,658,Seminar on Mobile and Wireless Networking,NaN,SEM,S90,1,"TU, TU, TU, TU","6:30 PM, 6:30 PM, 6:30 PM, 6:30 PM","7:50 PM, 7:50 PM, 7:50 PM, 7:50 PM","-, -, B206, B206",,,,,,,
,CSE,696,PhD Internship Project Off-Campus,NaN,TUT,,1 to 3,"APPT, APPT","-, -","-, -","-, -",,,,,,,
56528(56527),ESE,224,Advanced Programming and Data Structures,NaN,LEC(LAB),90(L90),4,TUTH(F),12:30 PM(2:00 PM),1:50 PM(5:00 PM),B613(B613),,,,,,,
,ESE,488,Internship in Electrical/Computer Engineering,EXP+,TUT,,3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"96473, ?, 92498, 52364",EST,100,"Designing, Producing & Presenting Multimedia Projects",TECH,LEC,90,3,"TU, TUTH, TUTH, MW","3:30 PM, 5:00 PM, 5:00 PM, 5:00 PM","4:50 PM, 6:20 PM, 6:20 PM, 6:20 PM","A314, A115, A115, A115",,,,,,,
"95411(95412), 54736(54735), 92237(92238), 52145(52144)",CSE,220,Systems Fundamentals I,NaN,"LEC(REC), LEC(REC), LEC(REC), LEC(REC)","90(R90), 90(R90), 90(R90), 90(R90)",4,"TUTH(RECM), TUTH(RETU), MW(RECM), TUTH(RECTH)","10:30 AM(12:30 PM), 10:30 AM(12:30 PM), 10:30 AM(12:30 PM), 12:30 PM(2:00 PM)","11:50 AM(1:25 PM), 11:50 AM(1:25 PM), 11:50 AM(1:25 PM), 1:50 PM(2:55 PM)","B203(B203), C107(C107), B203(B203), B203(B203)",,,,,,,
"95546, ?, 92322, 52096",CSE,303,Intro to Theory of Computation,NaN,LEC,90,3,"TUTH, TUTH, TUTH, TUTH","3:30 PM, 3:30 PM, 3:30 PM, 3:30 PM","4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM","A312, B103, B204, B204",,,,,,,
"95573, 54820, 92342, 52199",CSE,316,Fundamentals of Software Development,"Partially: ESI, EXP+, SBS+, STEM+",LEC,90,3,"MW, MW, MW, MW","2:00 PM, 3:30 PM, 9:00 AM, 9:00 AM","3:20 PM, 4:50 PM, 10:20 AM, 10:20 AM","B204, B314, B207, B207",,,,,,,
,CSE,487,Research in Computer Science,NaN,TUT,,0 to 6,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"96331, 56525",CSE,508,Network Security,NaN,LEC,90,3,"TUTH, TUTH","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM","B204, B207",,,,,,,
"56208, 52355",CSE,512,Machine Learning,NaN,LEC,90,3,"TUTH, TUTH","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM","B207, A116",,,,,,,
,CSE,522,Special Project in Computer Science,NaN,TUT,,3,"APPT, APPT, APPT","-, -, -","-, -, -","-, -, -",,,,,,,
,CSE,524,Advanced Project in Computer Science II,NaN,TUT,,3,"APPT, APPT, APPT","-, -, -","-, -, -","-, -, -",,,,,,,
56209,CSE,527,Introduction to Computer Vision,NaN,LEC,90,3,TUTH,3:30 PM,4:50 PM,B203,,,,,,,
"54737, 52146",CSE,540,Theory of Computation,NaN,LEC,90,3,"TUTH, MW","12:30 PM, 2:00 PM","1:50 PM, 3:20 PM","B206, A312",,,,,,,
56970,CSE,541,Logic in ComputerScience,NaN,LEC,90,3,MW,2:00 PM,3:20 PM,B313,,,,,,,
,CSE,587,Proficiency Requirement,NaN,TUT,,3,"APPT, APPT","-, -","-, -","-, -",,,,,,,
,CSE,593,Independent Study in Computer Science,NaN,TUT,,1 to 9,"APPT, APPT, APPT","-, -, -","-, -, -","-, -, -",,,,,,,
,CSE,599,M.S. Thesis Research,NaN,TUT,,1 to 12,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"95502, ?, 52113",CSE,649,Seminar in Operating Systems,NaN,SEM,S90,NaN,"TU, TU, TU","6:30 PM, 6:30 PM, 6:30 PM","7:50 PM, 7:50 PM, 7:50 PM","-, -, -",,,,,,,
,CSE,700,Dissertation off Campus Domest,NaN,TUT,,0 to 9,"APPT, APPT","-, -","-, -","-, -",,,,,,,
"96530(96531/96532), 56211(56212), 92506(92507), 52358(52359)",ESE,123,Introduction to Electrical and Computer Engineering,TECH,LEC(LAB),"90(L90/L91), 90(L90)",4,"TUTH(TU/TH), TH(TU), TUTH(TU), TU/F(TU)","9:00 AM(2:00 PM), 2:00 PM(2:00 PM), 3:30 PM(5:00 PM), 5:00 PM/12:30 PM(6:30 PM)","10:20 AM(4:50 PM), 4:50 PM(4:50 PM), 4:50 PM(7:50 PM), 6:20 PM/1:50 PM(9:20 PM)","B203(C508), A312(C508), B104(C508), B207(C508)",,,,,,,
"96985(96975), 56831(56832)",ESE,124,Programming Fundamentals,TECH,LEC(LAB),90(L90),4,"MW(F), M(W)","5:00 PM(2:00 PM), 6:30 PM(6:30 PM)","6:20 PM(4:50 PM), 8:50 PM(9:20 PM)","B614(B614), B614(B614)",,,,,,,
56491,ESE,273,Microelectronic Circuits,NaN,LEC,90,3,MW,2:00 PM,3:20 PM,B613,,,,,,,
96976(96977),ESE,280,Embedded Microcontroller Systems Design I,NaN,LEC(LAB),90(L90),4,TUTH(TH),2:00 PM(3:30 PM),3:20 PM(5:50 PM),B613(B613),,,,,,,
56492,ESE,306,Random Signals and Systems,NaN,LEC,90,3,MW,5:00 PM,6:20 PM,B104,,,,,,,
"96554, 56213, 92510, 52360",ESE,475,Undergraduate Teaching Practicum,EXP+,TUT,T90,3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"96555, 56214, 92511, 52361",ESE,476,Instructional Laboratory Development  Practicum,EXP+,TUT,T90,3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"95416, 54787, 92242, 52177",EST,202,"Introduction to Science, Technology, and Society Studies",TECH,LEC,90,3,"TUTH, MW, TUTH, MW","3:30 PM, 3:30 PM, 3:30 PM, 3:30 PM","4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM","B203, C105, B105, B207",,,,,,,
"95576, 92344",EST,205,Intro to Tech Design,TECH,LEC,90,3,"TUTH, TUTH","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM","B105, B105",,,,,,,
"95418, ?, 92244, 52140",EST,326,Management for Engineers,NaN,LEC,90,3,"MW, TUTH, MW, TUTH","3:30 PM, 5:00 PM, 3:30 PM, 5:00 PM","4:50 PM, 6:20 PM, 4:50 PM, 6:20 PM","C105, C107, B207, A211",,,,,,,
"96321, 92464",EST,330,Natural Disasters,STAS,LEC,90,3,"MW, MW","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM","B207, B103",,,,,,,
"95530, 54674, 92310, 52111",EST,372,The Mobile Revolution in Development,NaN,LEC,90,3,"TUTH, TUTH, TUTH, F","3:30 PM, 3:30 PM, 3:30 PM, 9:30 AM","4:50 PM, 4:50 PM, 4:50 PM, 12:20 PM","B105, B205, B103, B205",,,,,,,
"95447, 54667, 92270, 52105",EST,441,Interdisciplinary Senior Project,"Partially: CER, ESI, EXP+, SBS+, SPK, STEM+, WRTD",LEC,90,1 to 3,"TUTH, TUTH, TUTH, TUTH","10:30 AM, 10:30 AM, 10:30 AM, 10:30 AM","11:50 AM, 11:50 AM, 11:50 AM, 11:50 AM","B313, A312, A117, A117",,,,,,,
56531,EST,502,Ethical Decisions in Engineering,NaN,LEC,90,3,TU,7:00 PM,9:50 PM,A312,,,,,,,
"95547, 92323",EST,558,Digital tech in disaster risk,NaN,SEM,S90,3,"SAT, W","9:00 AM, 7:00 PM","11:50 AM, 9:50 PM","B204, B204",,,,,,,
,EST,699,Dissertation Research on Campu - James Larson,NaN,SUP,,1 to 9,"HTBA, HTBA, HTBA, HTBA","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"95496, 92287",MEC,301,Thermodynamics,NaN,LEC,90,3,"TUTH, TUTH","3:30 PM, 3:30 PM","4:50 PM, 4:50 PM","A117, B205",,,,,,,
"95497, 92288",MEC,310,Introduction to Machine Design,NaN,LEC,90,3,"TUTH, TUTH","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM","B205, B203",,,,,,,
"95498, 92289",MEC,316,Instrumentation and Solids Lab,TECH,LAB,"L90, L90/L91",2,"W, W/M","9:00 AM, 9:00 AM/9:00 AM","11:50 AM, 11:50 AM/11:50 AM","A114, C103/C103",,,,,,,
"54746, 52153/56479",MEC,317,Thermal Sciences and Fluid Mechanics Laboratory,TECH,LAB,"L90, L90/L91",2,"M, M","12:30 PM, 12:30 PM/9:00 AM","3:20 PM, 3:20 PM/11:50 AM","C606, C606",,,,,,,
"95579, 92347",MEC,402,Mechanical Vibrations,NaN,LEC,90,3,"MW, MW","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM","B205, A724",,,,,,,
"54749(54748), 52156(52155)",MEC,411,Control System Analysis and Design,NaN,LEC(LAB),90(L90),4,"TUTH(W), TUTH(W)","10:30 AM(9:00 AM), 10:30 AM(9:00 AM)","11:50 AM(11:50 AM), 11:50 AM(11:50 AM)","B207(A724), B314(B203)",,,,,,,
"95526, 92308",MEC,422,Thermal System Design,NaN,LEC,90,3,"MW, MW","5:00 PM, 5:00 PM","6:20 PM, 6:20 PM","B204, B206",,,,,,,
"96474, 92499",EST,201,Technological Trends in Society,STAS,LEC,90,3,"TUTH, TUTH","12:30 PM, 12:30 PM","1:50 PM, 1:50 PM","B313, B314",,,,,,,
"54826, 52204",EST,207,Interaction Design,TECH,LEC,90,3,"TUTH, TUTH","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM","B203, B207",,,,,,,
"96580, ?, 92515, 52365",EST,221,Multimedia for Online Content Platforms,TECH,LEC,90,3,"MW, MW, MW, MW","5:00 PM, 5:00 PM, 5:00 PM, 5:00 PM","6:20 PM, 6:20 PM, 6:20 PM, 6:20 PM","A115, A314, A115, A314",,,,,,,
"95417, 54600, 92243, 52039",EST,230,Information and Communications Technology for Sustainable Development,TECH,LEC,90,3,"MW, TUTH, MW, TUTH","5:00 PM, 12:30 PM, 5:00 PM, 5:00 PM","6:20 PM, 1:50 PM, 6:20 PM, 6:20 PM","B207, C103, B203, B203",,,,,,,
52106,EST,240,Visual Rhetoric and Information Technology,TECH,LEC,90,3,TUTH,3:30 PM,4:50 PM,B203,,,,,,,
"95529, 54738, 92309, 52147",EST,304,Communication for Engineers and Scientists,NaN,LEC,90,3,"TUTH, TUTH, TUTH, TUTH","12:30 PM, 12:30 PM, 12:30 PM, 12:30 PM","1:50 PM, 1:50 PM, 1:50 PM, 1:50 PM","B207, B103, B105, B314",,,,,,,
"54861, 52222",EST,327,"Systems Engineering Management, Elements of Product Design and Development",NaN,LEC,90,3,"MW, TUTH","2:00 PM, 9:00 PM","3:20 PM, 10:20 PM","B207, B207",,,,,,,
"95419, ?, 92245, 52166",EST,331,Engineering Ethics,STAS,LEC,90,3,"TUTH, TUTH, TUTH, TUTH","2:00 PM, 3:30 PM, 2:00 PM, 3:30 PM","3:20 PM, 4:50 PM, 3:20 PM, 4:50 PM","C107, C107, B207, B207",,,,,,,
"95438, ?, 92264, 52041",EST,392,Engineering Economics,SBS,LEC,90,3,"TUTH, TUTH, F, TUTH","5:00 PM, 12:30 PM, 9:30 AM, 12:30 PM","6:20 PM, 1:50 PM, 12:20 PM, 1:50 PM","B105, B204, B207, B207",,,,,,,
96320,EST,583,National Energy Decision,NaN,LEC,90,3,F,4:00 PM,6:50 PM,B204,,,,,,,
"54836, 52209",EMP,530,Intro of Big Data & Data Science for Technological Management,NaN,LEC,90,3,"F, TH","1:00 PM, 7:00 PM","3:50 PM, 9:50 PM","B203, B203",,,,,,,
"95425, ?, 92251, 52124",MEC,101,Freshman Design Innovation,NaN,LEC,90,3,"TUTH, TUTH, TUTH, TUTH","12:30 PM, 12:30 PM, 12:30 PM, 12:30 PM","1:50 PM, 1:50 PM, 1:50 PM, 1:50 PM","B105, B207, B103, B103",,,,,,,
"95499, 92290",MEC,320,Num Methods Eng Des Anal,NaN,LEC,90,3,"MW, MW","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM","A114, B203",,,,,,,
"54750, 56533",MEC,440,Mechanical Engineering Design I,"Partially: CER, ESI, EXP+, SBS+, SPK, STEM+, WRTD",LEC,90,3,"TUTH, TUTH","3:30 PM, 2:00 PM","4:50 PM, 3:20 PM","A117, A117",,,,,,,
"96454, 92489",MEC,441,Mechanical Engnrng Design II,NaN,LEC,91,3,"TUTH, TUTH","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM","B314, B618",,,,,,,
"95615, 92361",EST,280,Fundmtls of Indstrl Engnrng,TECH,LEC,90,3,"TUTH, TUTH","9:00 AM, 5:00 PM","10:20 AM, 6:20 PM","B105, B207",,,,,,,
"95616, 54726, 92362, 52142",EST,320,Communication Technology Systems,STAS,LEC,90,3,"TUTH, TUTH, TUTH, TUTH","12:30 PM, 3:30 PM, 12:30 PM, 3:30 PM","1:50 PM, 4:50 PM, 1:50 PM, 4:50 PM","B203, B313, B203, B105",,,,,,,
"54788, 52178",EST,325,Technology in the Workplace,STAS,LEC,90,3,"TUTH, TUTH","12:30 PM, 12:30 PM","1:50 PM, 1:50 PM","B203, A312",,,,,,,
"95420, ?, 92246",EST,364,How to Build a Startup,EXP+,LEC,90,3,"MW, TUTH, MW","9:00 AM, 9:00 AM, 9:00 AM","10:20 AM, 10:20 AM, 10:20 AM","B205, B204, B203",,,,,,,
"95422, ?, 92248, 52110",EST,391,Technology Assessment,STAS,LEC,90,3,"MW, MW, TUTH, TUTH","10:30 AM, 3:30 PM, 5:00 PM, 9:00 AM","11:50 AM, 4:50 PM, 6:20 PM, 10:20 AM","B205, A704, B105, B105",,,,,,,
"95423, ?, 92249, 52042",EST,393,Project Management,NaN,LEC,90,1 to 3,"MW, MW, MW, MW","5:00 PM, 10:30 AM, 3:30 PM, 10:30 AM","6:20 PM, 11:50 AM, 4:50 PM, 11:50 AM","B203, B203, B204, C107",,,,,,,
54795,EST,568,Networked Communication Technologies,NaN,LEC,90,3,SA,9:00 AM,11:50 AM,B204,,,,,,,
"54828, 52206",EST,569,Technology in the City,NaN,LEC,90,3,"F, F","7:00 PM, 7:00 PM","9:50 PM, 9:50 PM","B204, B204",,,,,,,
"95415, 92241",EST,581,Heurist &Quant Decision Making,NaN,LEC,90,3,"M, M","7:00 PM, 7:00 PM","9:50 PM, 9:50 PM","B207, B204",,,,,,,
"54599, 52038",EST,582,Introduction to Systems Concepts,NaN,LEC,90,3,"M, M","7:00 PM, 7:00 PM","9:50 PM, 9:50 PM","B204, B204",,,,,,,
,EST,697,Directed Study,NaN,SUP,,1 to 9,"HTBA, HTBA, HTBA, HTBA","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"95624, 92367",EMP,517,Quality and Value Management,NaN,LEC,90,3,"F, F","7:00 PM, 7:00 PM","9:50 PM, 9:50 PM","B204, B204",,,,,,,
"54699, 52125",MEC,102,Engineering Computing and Problem Solving,NaN,LEC,90,2,"F, F","12:30 PM, 12:30 PM","2:20 PM, 2:20 PM","B103, B103",,,,,,,
"95426, 54700, 92252, 52126",MEC,203,Engineering Graphics and CAD,NaN,LEC,90,3,"TH, W, TH, TH","2:00 PM, 3:10 PM, 2:00 PM, 2:00 PM","4:50 PM, 6:00 PM, 4:50 PM, 4:50 PM","A115, A115, A211, B103",,,,,,,
"95578, 92346",MEC,226,Modern Machining Practices,NaN,LAB,L90,1,"TH, TH","5:00 PM, 5:00 PM","6:20 PM, 6:50 PM","B1093, B1093",,,,,,,
"54743, 52150",MEC,300,Professional Conduct for Engineers,NaN,LEC,90,2,"M, TU","10:00 AM, 3:30 PM","11:50 AM, 5:20 PM","C107, B206",,,,,,,
"54745(54744), 52152(52151)",MEC,305,Heat and Mass Transfer,NaN,LEC(REC),90(R90),3,"MW(RECW), MW(RECM)","3:30 PM(5:00 PM), 3:30 PM(5:00 PM)","4:50 PM(5:55 PM), 4:50 PM(5:55 PM)","B206, B206",,,,,,,
"95504(95505), 92295(92296)",MEC,364,Intro to Fluid Mechanics,NaN,LEC(REC),90(R90),3,"TUTH(RECW), TUTH(RECW)","2:00 PM(5:00 PM), 2:00 PM(5:00 PM)","3:20 PM(5:55 PM), 3:20 PM(5:55 PM)","B205(B206), B313(B313)",,,,,,,
"54747, 52154",MEC,410,Design of Machine Elements,NaN,LEC,90,3,"TUTH, TUTH","12:30 PM, 12:30 PM","1:50 PM, 1:50 PM","B105, B206",,,,,,,
"54829, 52207",MEC,450,Mechatronics,NaN,LEC,90,3,"F, F","9:00 AM, 9:00 AM","11:50 AM, 11:50 AM","-, A117",,,,,,,
"96475, 54860, 92500, 52221",EST,204,Modern Digital Technology and Innovation,TECH,LEC,90,3,"TUTH, TUTH, TUTH, TUTH","2:00 PM, 10:30 AM, 2:00 PM, 10:30 AM","3:20 PM, 11:50 AM, 3:20 PM, 11:50 AM","B313, B105, B205, B205",,,,,,,
"95441, 54601, 92267, 52040",EST,305,Applications Software for Information Management,NaN,LEC,90,3,"TUTH, MW, TUTH, MW","12:30 PM, 2:00 PM, 9:00 PM, 2:00 PM","1:50 PM, 3:20 PM, 10:20 PM, 3:20 PM","A313, A313, A313, A115",,,,,,,
"95577, ?, 92345, 52108",EST,310,Design of Computer Games,TECH,LEC,90,3,"MW, MW, MW, MW","10:30 AM, 10:30 AM, 10:30 AM, 10:30 AM","11:50 AM, 11:50 AM, 11:50 AM, 11:50 AM","A211, A211, A312, A312",,,,,,,
"95421, 54789, 92247, 52179",EST,371,Data Science Management,NaN,LEC,90,3,"MW, TUTH, MW, F","2:00 PM, 2:00 PM, 2:00 PM, 2:00 PM","3:20 PM, 3:20 PM, 3:20 PM, 4:50 PM","B103, B105, B205, B204",,,,,,,
"95424, 54604, 92250, 52043",EST,440,Interdisciplinary Research Methods,"Partially: CER, ESI, EXP+, SBS+, SPK, STEM+, WRTD",LEC,90,1 to 3,"TUTH, TUTH, TUTH, TUTH","10:30 AM, 10:30 AM, 10:30 AM, 10:30 AM","11:50 AM, 11:50 AM, 11:50 AM, 11:50 AM","A312, A114, B313, C105",,,,,,,
"95682, 96951, 56743",EST,475,Undergraduate Teaching Practicum (Tutorial),EXP+,TUT,"T104, T90, T93",3,"APPT, APPT, APPT","-, -, -","-, -, -","-, -, -",,,,,,,
,EST,488,Internship in Tech & Society,EXP+,TUT,,1 to 3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
,EST,499,Research in Tech & Society,EXP+,TUT,,0 to 3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
56246,EST,561,Sensing Technologies for Disater Risk Reduction,NaN,LEC,90,3,TH,4:00 PM,6:50 PM,B206,,,,,,,
97377,EST,599,Special Projects and Topics - Artificial Intelligence in Ed,NaN,TUT,T90,1 to 12,APPT,-,-,-,,,,,,,
"96322(96427), 92465(92486)",EMP,501,Behav & Organz Aspects of Mgmt,NaN,LEC(SEM),90(S90),3,"TH(TH), TH(TH)","7:00 PM(8:30 PM), 5:00 PM(6:30 PM)","8:20 PM(9:50 PM), 6:20 PM(7:50 PM)","B204, B104",,,,,,,
"54859, 52220",EMP,502,Engineering Economics,NaN,LEC,90,3,"W, W","7:00 PM, 7:00 PM","9:50 PM, 9:50 PM","B204, B204",,,,,,,
"95612, 92360",MEC,325,Manufacturing Processes,NaN,LEC,90,3,"MW, MW","3:30 PM, 3:30 PM","4:50 PM, 4:50 PM","A114, A312",,,,,,,
56480,MEC,455,Applied Stress Analysis,NaN,LEC,90,3,MW,10:30 AM,11:50 AM,B618,,,,,,,
96397,MEC,507,Mathematical Methods I,NaN,LEC,90,3,TUTH,12:30 PM,1:50 PM,B205,,,,,,,
"56222, 52367",MEC,510,Object-Oriented Programming for Scientists and Engineers,NaN,LEC,90,3,"TUTH, F","10:30 AM, 12:30 PM","11:50 AM, 3:20 PM","A704, A117",,,,,,,
