location,startTime,crs,sbc,likes,most_recent_instructor,id,day,past_instructors,endTime,sctn,credits,subj,avgGrade,cmp,recent_two_instructors,semesters,courseTitle,classNbr
{B103},9:00 AM,304,NaN,0,?,65bebb3f29280314d82979a4,TUTH,{},10:20 AM,90,3,CSE,0,LEC,{},?,Compiler Design,96938
{B204},12:30 PM,306,"Partially: ESI, EXP+, SBS+, STEM+",0,?,65e9813c50d4111ca6f57af4,TUTH,{},1:50 PM,90,3,CSE,0,LEC,{},?,Operating System,56521
{B313},3:30 PM,354,NaN,0,?,65e5032dee7bd45c98acc760,TUTH,{},4:50 PM,90,3,CSE,0,LEC,{},?,Natural Language Processing,96966
"{B203, B313, A116, B105}","2:00 PM, 10:30 AM, 2:00 PM, 5:00 PM",416,"Partially: ESI, EXP+, SBS+, STEM+",0,?,6436c2667efba14cf3f9002b,"TUTH, TUTH, TUTH, TUTH",{},"3:20 PM, 11:50 AM, 3:20 PM, 6:20 PM",90,3,CSE,0,LEC,{},?,Software Engineering,"95572, ?, 92341, 52148"
"{-, -, -}","-, -, -",475,EXP+,0,?,6436c2667efba14cf3f9002d,"APPT, APPT, APPT",{},"-, -, -",,3,CSE,0,TUT,{},?,Undergrad Teaching Practicum,
"{-, -, -}","-, -, -",523,NaN,0,?,6436c2677efba14cf3f90042,"APPT, APPT, APPT",{},"-, -, -",,3,CSE,0,TUT,{},?,Advanced Project in Computer Science I,
"{-, -, B204, B204}","6:30 PM, 6:30 PM, 6:30 PM, 6:30 PM",646,NaN,0,?,6436c2687efba14cf3f90051,"TU, TU, TU, TU",{},"7:50 PM, 7:50 PM, 7:50 PM, 7:50 PM",S90,1,CSE,0,SEM,{},?,Seminar in Artificial Intelligence,"95626, 54823, 92368, 52201"
"{-, -, B206, B206}","6:30 PM, 6:30 PM, 6:30 PM, 6:30 PM",658,NaN,0,?,6436c2687efba14cf3f90053,"TU, TU, TU, TU",{},"7:50 PM, 7:50 PM, 7:50 PM, 7:50 PM",S90,1,CSE,0,SEM,{},?,Seminar on Mobile and Wireless Networking,"95414, 54824, 92240, 52202"
"{-, -}","-, -",696,NaN,0,?,6436c2a63023723180f7ebb2,"APPT, APPT",{},"-, -",,1 to 3,CSE,0,TUT,{},?,PhD Internship Project Off-Campus,
{B613(B613)},12:30 PM(2:00 PM),224,NaN,0,?,65e58f4fee7bd45c98acc776,TUTH(F),{},1:50 PM(5:00 PM),90(L90),4,ESE,0,LEC(LAB),{},?,Advanced Programming and Data Structures,56528(56527)
"{-, -, -, -}","-, -, -, -",488,EXP+,0,?,6436c2687efba14cf3f90063,"APPT, APPT, APPT, APPT",{},"-, -, -, -",,3,ESE,0,TUT,{},?,Internship in Electrical/Computer Engineering,
"{A314, A115, A115, A115}","3:30 PM, 5:00 PM, 5:00 PM, 5:00 PM",100,TECH,0,?,6436c2697efba14cf3f90066,"TU, TUTH, TUTH, MW",{},"4:50 PM, 6:20 PM, 6:20 PM, 6:20 PM",90,3,EST,0,LEC,{},?,"Designing, Producing & Presenting Multimedia Projects","96473, ?, 92498, 52364"
"{B203(B203), C107(C107), B203(B203), B203(B203)}","10:30 AM(12:30 PM), 10:30 AM(12:30 PM), 10:30 AM(12:30 PM), 12:30 PM(2:00 PM)",220,NaN,0,?,6436c2667efba14cf3f90021,"TUTH(RECM), TUTH(RETU), MW(RECM), TUTH(RECTH)",{},"11:50 AM(1:25 PM), 11:50 AM(1:25 PM), 11:50 AM(1:25 PM), 1:50 PM(2:55 PM)","90(R90), 90(R90), 90(R90), 90(R90)",4,CSE,0,"LEC(REC), LEC(REC), LEC(REC), LEC(REC)",{},?,Systems Fundamentals I,"95411(95412), 54736(54735), 92237(92238), 52145(52144)"
"{A312, B103, B204, B204}","3:30 PM, 3:30 PM, 3:30 PM, 3:30 PM",303,NaN,0,?,6436c2667efba14cf3f90024,"TUTH, TUTH, TUTH, TUTH",{},"4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM",90,3,CSE,0,LEC,{},?,Intro to Theory of Computation,"95546, ?, 92322, 52096"
"{B204, B314, B207, B207}","2:00 PM, 3:30 PM, 9:00 AM, 9:00 AM",316,"Partially: ESI, EXP+, SBS+, STEM+",0,?,6436c2667efba14cf3f90026,"MW, MW, MW, MW",{},"3:20 PM, 4:50 PM, 10:20 AM, 10:20 AM",90,3,CSE,0,LEC,{},?,Fundamentals of Software Development,"95573, 54820, 92342, 52199"
"{-, -, -, -}","-, -, -, -",487,NaN,0,?,6436c2677efba14cf3f90036,"APPT, APPT, APPT, APPT",{},"-, -, -, -",,0 to 6,CSE,0,TUT,{},?,Research in Computer Science,
"{B204, B207}","10:30 AM, 10:30 AM",508,NaN,0,?,6436c2677efba14cf3f90040,"TUTH, TUTH",{},"11:50 AM, 11:50 AM",90,3,CSE,0,LEC,{},?,Network Security,"96331, 56525"
"{B207, A116}","2:00 PM, 2:00 PM",512,NaN,0,?,6436c2a43023723180f7eb90,"TUTH, TUTH",{},"3:20 PM, 3:20 PM",90,3,CSE,0,LEC,{},?,Machine Learning,"56208, 52355"
"{-, -, -}","-, -, -",522,NaN,0,?,6436c2677efba14cf3f90041,"APPT, APPT, APPT",{},"-, -, -",,3,CSE,0,TUT,{},?,Special Project in Computer Science,
"{-, -, -}","-, -, -",524,NaN,0,?,6436c2677efba14cf3f90043,"APPT, APPT, APPT",{},"-, -, -",,3,CSE,0,TUT,{},?,Advanced Project in Computer Science II,
{B203},3:30 PM,527,NaN,0,?,6436c2a53023723180f7eb9c,TUTH,{},4:50 PM,90,3,CSE,0,LEC,{},?,Introduction to Computer Vision,56209
"{B206, A312}","12:30 PM, 2:00 PM",540,NaN,0,?,6436c2a53023723180f7eb9d,"TUTH, MW",{},"1:50 PM, 3:20 PM",90,3,CSE,0,LEC,{},?,Theory of Computation,"54737, 52146"
{B313},2:00 PM,541,NaN,0,?,65e6cec7ee7bd45c98acc77c,MW,{},3:20 PM,90,3,CSE,0,LEC,{},?,Logic in ComputerScience,56970
"{-, -}","-, -",587,NaN,0,?,6436c2677efba14cf3f90046,"APPT, APPT",{},"-, -",,3,CSE,0,TUT,{},?,Proficiency Requirement,
"{-, -, -}","-, -, -",593,NaN,0,?,6436c2687efba14cf3f9004a,"APPT, APPT, APPT",{},"-, -, -",,1 to 9,CSE,0,TUT,{},?,Independent Study in Computer Science,
"{-, -, -, -}","-, -, -, -",599,NaN,0,?,6436c2687efba14cf3f9004c,"APPT, APPT, APPT, APPT",{},"-, -, -, -",,1 to 12,CSE,0,TUT,{},?,M.S. Thesis Research,
"{-, -, -}","6:30 PM, 6:30 PM, 6:30 PM",649,NaN,0,?,6436c2687efba14cf3f90052,"TU, TU, TU",{},"7:50 PM, 7:50 PM, 7:50 PM",S90,NaN,CSE,0,SEM,{},?,Seminar in Operating Systems,"95502, ?, 52113"
"{-, -}","-, -",700,NaN,0,?,6436c2687efba14cf3f9005c,"APPT, APPT",{},"-, -",,0 to 9,CSE,0,TUT,{},?,Dissertation off Campus Domest,
"{B203(C508), A312(C508), B104(C508), B207(C508)}","9:00 AM(2:00 PM), 2:00 PM(2:00 PM), 3:30 PM(5:00 PM), 5:00 PM/12:30 PM(6:30 PM)",123,TECH,0,?,6436c2687efba14cf3f9005e,"TUTH(TU/TH), TH(TU), TUTH(TU), TU/F(TU)",{},"10:20 AM(4:50 PM), 4:50 PM(4:50 PM), 4:50 PM(7:50 PM), 6:20 PM/1:50 PM(9:20 PM)","90(L90/L91), 90(L90)",4,ESE,0,LEC(LAB),{},?,Introduction to Electrical and Computer Engineering,"96530(96531/96532), 56211(56212), 92506(92507), 52358(52359)"
"{B614(B614), B614(B614)}","5:00 PM(2:00 PM), 6:30 PM(6:30 PM)",124,TECH,0,?,65e59090ee7bd45c98acc779,"MW(F), M(W)",{},"6:20 PM(4:50 PM), 8:50 PM(9:20 PM)",90(L90),4,ESE,0,LEC(LAB),{},?,Programming Fundamentals,"96985(96975), 56831(56832)"
{B613},2:00 PM,273,NaN,0,?,65e58b44ee7bd45c98acc774,MW,{},3:20 PM,90,3,ESE,0,LEC,{},?,Microelectronic Circuits,56491
{B613(B613)},2:00 PM(3:30 PM),280,NaN,0,?,65e58dc7ee7bd45c98acc775,TUTH(TH),{},3:20 PM(5:50 PM),90(L90),4,ESE,0,LEC(LAB),{},?,Embedded Microcontroller Systems Design I,96976(96977)
{B104},5:00 PM,306,NaN,0,?,65e58a48ee7bd45c98acc771,MW,{},6:20 PM,90,3,ESE,0,LEC,{},?,Random Signals and Systems,56492
"{-, -, -, -}","-, -, -, -",475,EXP+,0,?,6436c2687efba14cf3f90061,"APPT, APPT, APPT, APPT",{},"-, -, -, -",T90,3,ESE,0,TUT,{},?,Undergraduate Teaching Practicum,"96554, 56213, 92510, 52360"
"{-, -, -, -}","-, -, -, -",476,EXP+,0,?,6436c2687efba14cf3f90062,"APPT, APPT, APPT, APPT",{},"-, -, -, -",T90,3,ESE,0,TUT,{},?,Instructional Laboratory Development  Practicum,"96555, 56214, 92511, 52361"
"{B203, C105, B105, B207}","3:30 PM, 3:30 PM, 3:30 PM, 3:30 PM",202,TECH,0,?,6436c2697efba14cf3f9006a,"TUTH, MW, TUTH, MW",{},"4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM",90,3,EST,0,LEC,{},?,"Introduction to Science, Technology, and Society Studies","95416, 54787, 92242, 52177"
"{B105, B105}","2:00 PM, 2:00 PM",205,TECH,0,?,6436c2697efba14cf3f9006c,"TUTH, TUTH",{},"3:20 PM, 3:20 PM",90,3,EST,0,LEC,{},?,Intro to Tech Design,"95576, 92344"
"{C105, C107, B207, A211}","3:30 PM, 5:00 PM, 3:30 PM, 5:00 PM",326,NaN,0,?,6436c2697efba14cf3f90074,"MW, TUTH, MW, TUTH",{},"4:50 PM, 6:20 PM, 4:50 PM, 6:20 PM",90,3,EST,0,LEC,{},?,Management for Engineers,"95418, ?, 92244, 52140"
"{B207, B103}","2:00 PM, 2:00 PM",330,STAS,0,?,6436c2697efba14cf3f90075,"MW, MW",{},"3:20 PM, 3:20 PM",90,3,EST,0,LEC,{},?,Natural Disasters,"96321, 92464"
"{B105, B205, B103, B205}","3:30 PM, 3:30 PM, 3:30 PM, 9:30 AM",372,NaN,0,?,6436c2697efba14cf3f90079,"TUTH, TUTH, TUTH, F",{},"4:50 PM, 4:50 PM, 4:50 PM, 12:20 PM",90,3,EST,0,LEC,{},?,The Mobile Revolution in Development,"95530, 54674, 92310, 52111"
"{B313, A312, A117, A117}","10:30 AM, 10:30 AM, 10:30 AM, 10:30 AM",441,"Partially: CER, ESI, EXP+, SBS+, SPK, STEM+, WRTD",0,?,6436c2a83023723180f7ebcf,"TUTH, TUTH, TUTH, TUTH",{},"11:50 AM, 11:50 AM, 11:50 AM, 11:50 AM",90,1 to 3,EST,0,LEC,{},?,Interdisciplinary Senior Project,"95447, 54667, 92270, 52105"
{A312},7:00 PM,502,NaN,0,?,65e9a25f50d4111ca6f57af6,TU,{},9:50 PM,90,3,EST,0,LEC,{},?,Ethical Decisions in Engineering,56531
"{B204, B204}","9:00 AM, 7:00 PM",558,NaN,0,?,6436c26b7efba14cf3f9008f,"SAT, W",{},"11:50 AM, 9:50 PM",S90,3,EST,0,SEM,{},?,Digital tech in disaster risk,"95547, 92323"
"{-, -, -, -}","-, -, -, -",699,NaN,0,?,6436c26b7efba14cf3f90099,"HTBA, HTBA, HTBA, HTBA",{},"-, -, -, -",,1 to 9,EST,0,SUP,{},?,Dissertation Research on Campu - James Larson,
"{A117, B205}","3:30 PM, 3:30 PM",301,NaN,0,?,6436c26c7efba14cf3f900a2,"TUTH, TUTH",{},"4:50 PM, 4:50 PM",90,3,MEC,0,LEC,{},?,Thermodynamics,"95496, 92287"
"{B205, B203}","10:30 AM, 10:30 AM",310,NaN,0,?,6436c26c7efba14cf3f900a3,"TUTH, TUTH",{},"11:50 AM, 11:50 AM",90,3,MEC,0,LEC,{},?,Introduction to Machine Design,"95497, 92288"
"{A114, C103/C103}","9:00 AM, 9:00 AM/9:00 AM",316,TECH,0,?,6436c26c7efba14cf3f900a4,"W, W/M",{},"11:50 AM, 11:50 AM/11:50 AM","L90, L90/L91",2,MEC,0,LAB,{},?,Instrumentation and Solids Lab,"95498, 92289"
"{C606, C606}","12:30 PM, 12:30 PM/9:00 AM",317,TECH,0,?,6436c2ab3023723180f7ebf6,"M, M",{},"3:20 PM, 3:20 PM/11:50 AM","L90, L90/L91",2,MEC,0,LAB,{},?,Thermal Sciences and Fluid Mechanics Laboratory,"54746, 52153/56479"
"{B205, A724}","2:00 PM, 2:00 PM",402,NaN,0,?,6436c26c7efba14cf3f900a9,"MW, MW",{},"3:20 PM, 3:20 PM",90,3,MEC,0,LEC,{},?,Mechanical Vibrations,"95579, 92347"
"{B207(A724), B314(B203)}","10:30 AM(9:00 AM), 10:30 AM(9:00 AM)",411,NaN,0,?,6436c2ab3023723180f7ebf8,"TUTH(W), TUTH(W)",{},"11:50 AM(11:50 AM), 11:50 AM(11:50 AM)",90(L90),4,MEC,0,LEC(LAB),{},?,Control System Analysis and Design,"54749(54748), 52156(52155)"
"{B204, B206}","5:00 PM, 5:00 PM",422,NaN,0,?,6436c26c7efba14cf3f900aa,"MW, MW",{},"6:20 PM, 6:20 PM",90,3,MEC,0,LEC,{},?,Thermal System Design,"95526, 92308"
"{B313, B314}","12:30 PM, 12:30 PM",201,STAS,0,?,6436c2697efba14cf3f90069,"TUTH, TUTH",{},"1:50 PM, 1:50 PM",90,3,EST,0,LEC,{},?,Technological Trends in Society,"96474, 92499"
"{B203, B207}","2:00 PM, 2:00 PM",207,TECH,0,?,6436c2a73023723180f7ebc5,"TUTH, TUTH",{},"3:20 PM, 3:20 PM",90,3,EST,0,LEC,{},?,Interaction Design,"54826, 52204"
"{A115, A314, A115, A314}","5:00 PM, 5:00 PM, 5:00 PM, 5:00 PM",221,TECH,0,?,6436c2697efba14cf3f9006d,"MW, MW, MW, MW",{},"6:20 PM, 6:20 PM, 6:20 PM, 6:20 PM",90,3,EST,0,LEC,{},?,Multimedia for Online Content Platforms,"96580, ?, 92515, 52365"
"{B207, C103, B203, B203}","5:00 PM, 12:30 PM, 5:00 PM, 5:00 PM",230,TECH,0,?,6436c2697efba14cf3f9006e,"MW, TUTH, MW, TUTH",{},"6:20 PM, 1:50 PM, 6:20 PM, 6:20 PM",90,3,EST,0,LEC,{},?,Information and Communications Technology for Sustainable Development,"95417, 54600, 92243, 52039"
{B203},3:30 PM,240,TECH,0,?,65e9a35f50d4111ca6f57af7,TUTH,{},4:50 PM,90,3,EST,0,LEC,{},?,Visual Rhetoric and Information Technology,52106
"{B207, B103, B105, B314}","12:30 PM, 12:30 PM, 12:30 PM, 12:30 PM",304,NaN,0,?,6436c2a73023723180f7ebc7,"TUTH, TUTH, TUTH, TUTH",{},"1:50 PM, 1:50 PM, 1:50 PM, 1:50 PM",90,3,EST,0,LEC,{},?,Communication for Engineers and Scientists,"95529, 54738, 92309, 52147"
"{B207, B207}","2:00 PM, 9:00 PM",327,NaN,0,?,6436c2a73023723180f7ebcb,"MW, TUTH",{},"3:20 PM, 10:20 PM",90,3,EST,0,LEC,{},?,"Systems Engineering Management, Elements of Product Design and Development","54861, 52222"
"{C107, C107, B207, B207}","2:00 PM, 3:30 PM, 2:00 PM, 3:30 PM",331,STAS,0,?,6436c2697efba14cf3f90076,"TUTH, TUTH, TUTH, TUTH",{},"3:20 PM, 4:50 PM, 3:20 PM, 4:50 PM",90,3,EST,0,LEC,{},?,Engineering Ethics,"95419, ?, 92245, 52166"
"{B105, B204, B207, B207}","5:00 PM, 12:30 PM, 9:30 AM, 12:30 PM",392,SBS,0,?,6436c2697efba14cf3f9007b,"TUTH, TUTH, F, TUTH",{},"6:20 PM, 1:50 PM, 12:20 PM, 1:50 PM",90,3,EST,0,LEC,{},?,Engineering Economics,"95438, ?, 92264, 52041"
{B204},4:00 PM,583,NaN,0,?,6436c26b7efba14cf3f90091,F,{},6:50 PM,90,3,EST,0,LEC,{},?,National Energy Decision,96320
"{B203, B203}","1:00 PM, 7:00 PM",530,NaN,0,?,6436c2aa3023723180f7ebef,"F, TH",{},"3:50 PM, 9:50 PM",90,3,EMP,0,LEC,{},?,Intro of Big Data & Data Science for Technological Management,"54836, 52209"
"{B105, B207, B103, B103}","12:30 PM, 12:30 PM, 12:30 PM, 12:30 PM",101,NaN,0,?,6436c26c7efba14cf3f9009f,"TUTH, TUTH, TUTH, TUTH",{},"1:50 PM, 1:50 PM, 1:50 PM, 1:50 PM",90,3,MEC,0,LEC,{},?,Freshman Design Innovation,"95425, ?, 92251, 52124"
"{A114, B203}","2:00 PM, 2:00 PM",320,NaN,0,?,6436c26c7efba14cf3f900a5,"MW, MW",{},"3:20 PM, 3:20 PM",90,3,MEC,0,LEC,{},?,Num Methods Eng Des Anal,"95499, 92290"
"{A117, A117}","3:30 PM, 2:00 PM",440,"Partially: CER, ESI, EXP+, SBS+, SPK, STEM+, WRTD",0,?,6436c2ab3023723180f7ebfa,"TUTH, TUTH",{},"4:50 PM, 3:20 PM",90,3,MEC,0,LEC,{},?,Mechanical Engineering Design I,"54750, 56533"
"{B314, B618}","2:00 PM, 2:00 PM",441,NaN,0,?,6436c26c7efba14cf3f900ab,"TUTH, TUTH",{},"3:20 PM, 3:20 PM",91,3,MEC,0,LEC,{},?,Mechanical Engnrng Design II,"96454, 92489"
"{B105, B207}","9:00 AM, 5:00 PM",280,TECH,0,?,6436c2697efba14cf3f9006f,"TUTH, TUTH",{},"10:20 AM, 6:20 PM",90,3,EST,0,LEC,{},?,Fundmtls of Indstrl Engnrng,"95615, 92361"
"{B203, B313, B203, B105}","12:30 PM, 3:30 PM, 12:30 PM, 3:30 PM",320,STAS,0,?,6436c2697efba14cf3f90073,"TUTH, TUTH, TUTH, TUTH",{},"1:50 PM, 4:50 PM, 1:50 PM, 4:50 PM",90,3,EST,0,LEC,{},?,Communication Technology Systems,"95616, 54726, 92362, 52142"
"{B203, A312}","12:30 PM, 12:30 PM",325,STAS,0,?,6436c2a73023723180f7ebca,"TUTH, TUTH",{},"1:50 PM, 1:50 PM",90,3,EST,0,LEC,{},?,Technology in the Workplace,"54788, 52178"
"{B205, B204, B203}","9:00 AM, 9:00 AM, 9:00 AM",364,EXP+,0,?,6436c2697efba14cf3f90077,"MW, TUTH, MW",{},"10:20 AM, 10:20 AM, 10:20 AM",90,3,EST,0,LEC,{},?,How to Build a Startup,"95420, ?, 92246"
"{B205, A704, B105, B105}","10:30 AM, 3:30 PM, 5:00 PM, 9:00 AM",391,STAS,0,?,6436c2697efba14cf3f9007a,"MW, MW, TUTH, TUTH",{},"11:50 AM, 4:50 PM, 6:20 PM, 10:20 AM",90,3,EST,0,LEC,{},?,Technology Assessment,"95422, ?, 92248, 52110"
"{B203, B203, B204, C107}","5:00 PM, 10:30 AM, 3:30 PM, 10:30 AM",393,NaN,0,?,6436c2697efba14cf3f9007c,"MW, MW, MW, MW",{},"6:20 PM, 11:50 AM, 4:50 PM, 11:50 AM",90,1 to 3,EST,0,LEC,{},?,Project Management,"95423, ?, 92249, 52042"
{B204},9:00 AM,568,NaN,0,?,6436c2a93023723180f7ebdc,SA,{},11:50 AM,90,3,EST,0,LEC,{},?,Networked Communication Technologies,54795
"{B204, B204}","7:00 PM, 7:00 PM",569,NaN,0,?,6436c2a93023723180f7ebdd,"F, F",{},"9:50 PM, 9:50 PM",90,3,EST,0,LEC,{},?,Technology in the City,"54828, 52206"
"{B207, B204}","7:00 PM, 7:00 PM",581,NaN,0,?,6436c26b7efba14cf3f90090,"M, M",{},"9:50 PM, 9:50 PM",90,3,EST,0,LEC,{},?,Heurist &Quant Decision Making,"95415, 92241"
"{B204, B204}","7:00 PM, 7:00 PM",582,NaN,0,?,6436c2a93023723180f7ebde,"M, M",{},"9:50 PM, 9:50 PM",90,3,EST,0,LEC,{},?,Introduction to Systems Concepts,"54599, 52038"
"{-, -, -, -}","-, -, -, -",697,NaN,0,?,6436c26b7efba14cf3f90093,"HTBA, HTBA, HTBA, HTBA",{},"-, -, -, -",,1 to 9,EST,0,SUP,{},?,Directed Study,
"{B204, B204}","7:00 PM, 7:00 PM",517,NaN,0,?,6436c26c7efba14cf3f9009d,"F, F",{},"9:50 PM, 9:50 PM",90,3,EMP,0,LEC,{},?,Quality and Value Management,"95624, 92367"
"{B103, B103}","12:30 PM, 12:30 PM",102,NaN,0,?,6436c2aa3023723180f7ebf1,"F, F",{},"2:20 PM, 2:20 PM",90,2,MEC,0,LEC,{},?,Engineering Computing and Problem Solving,"54699, 52125"
"{A115, A115, A211, B103}","2:00 PM, 3:10 PM, 2:00 PM, 2:00 PM",203,NaN,0,?,6436c26c7efba14cf3f900a0,"TH, W, TH, TH",{},"4:50 PM, 6:00 PM, 4:50 PM, 4:50 PM",90,3,MEC,0,LEC,{},?,Engineering Graphics and CAD,"95426, 54700, 92252, 52126"
"{B1093, B1093}","5:00 PM, 5:00 PM",226,NaN,0,?,6436c26c7efba14cf3f900a1,"TH, TH",{},"6:20 PM, 6:50 PM",L90,1,MEC,0,LAB,{},?,Modern Machining Practices,"95578, 92346"
"{C107, B206}","10:00 AM, 3:30 PM",300,NaN,0,?,6436c2aa3023723180f7ebf3,"M, TU",{},"11:50 AM, 5:20 PM",90,2,MEC,0,LEC,{},?,Professional Conduct for Engineers,"54743, 52150"
"{B206, B206}","3:30 PM(5:00 PM), 3:30 PM(5:00 PM)",305,NaN,0,?,6436c2aa3023723180f7ebf4,"MW(RECW), MW(RECM)",{},"4:50 PM(5:55 PM), 4:50 PM(5:55 PM)",90(R90),3,MEC,0,LEC(REC),{},?,Heat and Mass Transfer,"54745(54744), 52152(52151)"
"{B205(B206), B313(B313)}","2:00 PM(5:00 PM), 2:00 PM(5:00 PM)",364,NaN,0,?,6436c26c7efba14cf3f900a7,"TUTH(RECW), TUTH(RECW)",{},"3:20 PM(5:55 PM), 3:20 PM(5:55 PM)",90(R90),3,MEC,0,LEC(REC),{},?,Intro to Fluid Mechanics,"95504(95505), 92295(92296)"
"{B105, B206}","12:30 PM, 12:30 PM",410,NaN,0,?,6436c2ab3023723180f7ebf7,"TUTH, TUTH",{},"1:50 PM, 1:50 PM",90,3,MEC,0,LEC,{},?,Design of Machine Elements,"54747, 52154"
"{-, A117}","9:00 AM, 9:00 AM",450,NaN,0,?,6436c2ab3023723180f7ebfb,"F, F",{},"11:50 AM, 11:50 AM",90,3,MEC,0,LEC,{},?,Mechatronics,"54829, 52207"
"{B313, B105, B205, B205}","2:00 PM, 10:30 AM, 2:00 PM, 10:30 AM",204,TECH,0,?,6436c2697efba14cf3f9006b,"TUTH, TUTH, TUTH, TUTH",{},"3:20 PM, 11:50 AM, 3:20 PM, 11:50 AM",90,3,EST,0,LEC,{},?,Modern Digital Technology and Innovation,"96475, 54860, 92500, 52221"
"{A313, A313, A313, A115}","12:30 PM, 2:00 PM, 9:00 PM, 2:00 PM",305,NaN,0,?,6436c2697efba14cf3f90071,"TUTH, MW, TUTH, MW",{},"1:50 PM, 3:20 PM, 10:20 PM, 3:20 PM",90,3,EST,0,LEC,{},?,Applications Software for Information Management,"95441, 54601, 92267, 52040"
"{A211, A211, A312, A312}","10:30 AM, 10:30 AM, 10:30 AM, 10:30 AM",310,TECH,0,?,6436c2697efba14cf3f90072,"MW, MW, MW, MW",{},"11:50 AM, 11:50 AM, 11:50 AM, 11:50 AM",90,3,EST,0,LEC,{},?,Design of Computer Games,"95577, ?, 92345, 52108"
"{B103, B105, B205, B204}","2:00 PM, 2:00 PM, 2:00 PM, 2:00 PM",371,NaN,0,?,6436c2697efba14cf3f90078,"MW, TUTH, MW, F",{},"3:20 PM, 3:20 PM, 3:20 PM, 4:50 PM",90,3,EST,0,LEC,{},?,Data Science Management,"95421, 54789, 92247, 52179"
"{A312, A114, B313, C105}","10:30 AM, 10:30 AM, 10:30 AM, 10:30 AM",440,"Partially: CER, ESI, EXP+, SBS+, SPK, STEM+, WRTD",0,?,6436c2a83023723180f7ebce,"TUTH, TUTH, TUTH, TUTH",{},"11:50 AM, 11:50 AM, 11:50 AM, 11:50 AM",90,1 to 3,EST,0,LEC,{},?,Interdisciplinary Research Methods,"95424, 54604, 92250, 52043"
"{-, -, -}","-, -, -",475,EXP+,0,?,6436c26a7efba14cf3f9007f,"APPT, APPT, APPT",{},"-, -, -","T104, T90, T93",3,EST,0,TUT,{},?,Undergraduate Teaching Practicum (Tutorial),"95682, 96951, 56743"
"{-, -, -, -}","-, -, -, -",488,EXP+,0,?,6436c26a7efba14cf3f90080,"APPT, APPT, APPT, APPT",{},"-, -, -, -",,1 to 3,EST,0,TUT,{},?,Internship in Tech & Society,
"{-, -, -, -}","-, -, -, -",499,EXP+,0,?,6436c26a7efba14cf3f90085,"APPT, APPT, APPT, APPT",{},"-, -, -, -",,0 to 3,EST,0,TUT,{},?,Research in Tech & Society,
{B206},4:00 PM,561,NaN,0,?,6436c2a93023723180f7ebdb,TH,{},6:50 PM,90,3,EST,0,LEC,{},?,Sensing Technologies for Disater Risk Reduction,56246
{-},-,599,NaN,0,?,65e6b3edee7bd45c98acc77a,APPT,{},-,T90,1 to 12,EST,0,TUT,{},?,Special Projects and Topics - Artificial Intelligence in Ed,97377
"{B204, B104}","7:00 PM(8:30 PM), 5:00 PM(6:30 PM)",501,NaN,0,?,6436c26b7efba14cf3f9009b,"TH(TH), TH(TH)",{},"8:20 PM(9:50 PM), 6:20 PM(7:50 PM)",90(S90),3,EMP,0,LEC(SEM),{},?,Behav & Organz Aspects of Mgmt,"96322(96427), 92465(92486)"
"{B204, B204}","7:00 PM, 7:00 PM",502,NaN,0,?,6436c2aa3023723180f7ebee,"W, W",{},"9:50 PM, 9:50 PM",90,3,EMP,0,LEC,{},?,Engineering Economics,"54859, 52220"
"{A114, A312}","3:30 PM, 3:30 PM",325,NaN,0,?,6436c26c7efba14cf3f900a6,"MW, MW",{},"4:50 PM, 4:50 PM",90,3,MEC,0,LEC,{},?,Manufacturing Processes,"95612, 92360"
