Class Nbr,Subj,CRS,,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
56458,AMS,104,Introduction to Spreadsheets,,"QPS, TECH",LEC,90,3,MW,2:00 PM,3:20 PM,B105,Kangmin Cho
52114,AMS,151,Applied Calculus I,,QPS,LEC,90,3,MW,2:00 PM,3:20 PM,A211,Young-Seon Lee
52213,AMS,151,Applied Calculus I,,QPS,LEC,91,3,TUTH,3:30 PM,4:50 PM,C107,Kazem Mahdavi
52115,AMS,161,Applied Calculus II,,QPS,LEC,90,3,MW,3:30 PM,4:50 PM,C103,Kazem Mahdavi
52214,AMS,161,Applied Calculus II,,QPS,LEC,91,3,TUTH,3:30 PM,4:50 PM,C103,Young-Seon Lee
52116,AMS,210,Applied Linear Algebra,,STEM+,LEC,90,3,MW,10:30 AM,11:50 AM,C105,Ky Tran
52117,,,,,,LEC,90,,MW,3:30 PM,4:50 PM,A211,
"",AMS,261,Applied Calculus III,,STEM+,,,4,,,,,Ky Tran
52118,,,,,,REC,R90,,M,12:30 PM,1:25 PM,A211,
52123,AMS,301,Finite Mathematical Structures,,STEM+,LEC,90,3,MW,9:00 AM,10:20 AM,B105,Suil O
52143,AMS,303,Graph Theory,,,LEC,90,3,MW,3:30 PM,4:50 PM,A312,Suil O
52141,AMS,310,Survey of Probability and Statistics,,STEM+,LEC,90,3,TUTH,9:00 AM,10:20 AM,C103,Hongshik Ahn
52119,AMS,311,Probability Theory,,,LEC,90,3,TUTH,12:30 PM,1:50 PM,B313,Jinsoo Hwang
52120,AMS,315,Data Analysis,,"CER, ESI",LEC,90,3,MW,10:30 AM,11:50 AM,B313,Changsoon Park
56459,AMS,318,Financial Mathematics,,WRTD,LEC,90,3,TUTH,9:00 AM,10:20 AM,B103,Taewon Lee
52200,AMS,326,Numerical Analysis,,,LEC,90,3,TUTH,5:00 PM,6:20 PM,A116,Taewon Lee
52370,AMS,380,Data Mining,,,LEC,90,3,TUTH,2:00 PM,3:20 PM,B313,Hyunwook Koh
52121,AMS,475,Undergrad Teachng Practicum,,EXP+; SPK,TUT,T90,3,APPT,1:00 AM,1:00 AM,-,Hongshik Ahn
52165,AMS,476,Undergrad Teaching Practicum,,EXP+; SPK,TUT,T90,3,APPT,1:00 AM,1:00 AM,-,Hongshik Ahn
52122,AMS,487,Research in Applied Mathematic,,EXP+; WRTD,TUT,T90,0 to 3,APPT,1:00 AM,1:00 AM,-,Kazem Mahdavi
52171,AMS,487,Research in Applied Mathematic,,EXP+; WRTD,TUT,T91,0 to 3,APPT,1:00 AM,1:00 AM,-,Hongshik Ahn
52192,AMS,487,Research in Applied Mathematic,,EXP+; WRTD,TUT,T92,0 to 3,APPT,1:00 AM,1:00 AM,-,Tan Cao
52198,AMS,487,Research in Applied Mathematic,,EXP+; WRTD,TUT,T93,0 to 3,APPT,1:00 AM,1:00 AM,-,Suil O
52255,AMS,487,Research in Applied Mathematic,,EXP+; WRTD,TUT,T94,0 to 3,APPT,1:00 AM,1:00 AM,-,Hyunwook Koh
52256,AMS,487,Research in Applied Mathematic,,EXP+; WRTD,TUT,T95,0 to 3,APPT,1:00 AM,1:00 AM,-,Ky Tran
56833,AMS,487,Research in Applied Mathematic,,EXP+; WRTD,TUT,T96,0 to 3,APPT,1:00 AM,1:00 AM,-,Young-Seon Lee
56494,,,,,,LEC,90,,MW,5:00 PM,6:20 PM,A704,
"",AMS,510,Analytical Methods for Applied Mathematics and Statistics,,,,,3,,,,,Kazem Mahdavi
56493,,,,,,REC,R90,,TU,10:30 AM,11:25 AM,A314,
56465,AMS,572,Data Analysis I,,,LEC,90,3,TUTH,3:30 PM,4:50 PM,B104,Jinsoo Hwang
56466,AMS,580,Statistical Learning,,,LEC,90,3,TUTH,9:00 AM,10:20 AM,A312,Hyunwook Koh
56467,AMS,597,Statistical Computing,,,LEC,90,3,MW,2:00 PM,3:20 PM,B206,Changsoon Park
Class Nbr,Subj,CRS,,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
52619,ACC,210,Financial Accounting,,,LEC,90,3,TUTH,2:00 PM,3:20 PM,B205,Jeehong Kim
52629,ACC,210,Financial Accounting,,,LEC,91,3,TUTH,10:30 AM,11:50 AM,B103,Koren Jo
56514,ACC,214,Managerial Cost Analysis and Applications,,,LEC,90,3,MW,10:30 AM,11:50 AM,B206,Soo Young Kwon
52671,ACC,310,Intermediate Accounting I,,,LEC,90,3,MW,2:00 PM,3:20 PM,B205,Soo Young Kwon
52618,BUS,215,Intro to Business Statistics,,,LEC,90,3,MW,3:30 PM,4:50 PM,B105,Jaeyeong Lee
52621,BUS,220,Intro to Decision Sciences,,STEM+,LEC,90,3,MW,10:30 AM,11:50 AM,B103,Chungseung Lee
52672,BUS,302,Social Media Marketing Strategy,,,LEC,90,3,MW,3:30 PM,4:50 PM,B313,Noelle (Myunghun) Chung
52630,BUS,326,Organizational Behavior,,DIV,LEC,90,3,TUTH,5:00 PM,6:20 PM,B204,Chih-mao Hsieh
52622,BUS,330,Principles of Finance,,,LEC,90,3,TUTH,10:30 AM,11:50 AM,B105,Joung Hwa Choi
56515,BUS,330,Principles of Finance,,,LEC,91,3,TUTH,2:00 PM,3:20 PM,B204,Sung Sup Choi
56516,BUS,331,International Finance,,,LEC,90,3,TUTH,10:30 AM,11:50 AM,B204,Sung Sup Choi
52624,BUS,346,Operations Management,,,LEC,90,3,MW,3:30 PM,4:50 PM,B103,Chungseung Lee
52623,BUS,348,Principles of Marketing,,,LEC,90,3,MW,2:00 PM,3:20 PM,B103,Noelle (Myunghun) Chung
52673,BUS,348,Principles of Marketing,,,LEC,91,3,MW,10:30 AM,11:50 AM,B105,Dae Ryun Chang
52626,BUS,353,Entrepreneurship,,,LEC,90,3,TUTH,3:30 PM,4:50 PM,A312,Chih-mao Hsieh
52674,BUS,355,Investment Analysis,,,LEC,90,3,TUTH,9:00 AM,10:20 AM,B205,Joung Hwa Choi
52631,BUS,359,Consumer Behavior,,,LEC,90,3,TU,2:00 PM,4:50 PM,A724,Young-Won Ha
52676,BUS,363,Brand Management,,,LEC,90,3,MW,2:00 PM,3:20 PM,B204,Dae Ryun Chang
52628,BUS,365,Financial Management,,ESI,LEC,90,3,MW,9:00 AM,10:20 AM,B205,Joung Hwa Choi
52677,BUS,375,Data Mining,,,LEC,90,3,MW,2:00 PM,3:20 PM,B314,KYUNG KU KIM
52632,BUS,447,Business Ethics,,CER,LEC,90,3,TH,10:30 AM,1:20 PM,C107,In Ki Joo
52633,BUS,448,Marketing Strategy,,,LEC,90,3,MW,10:30 AM,11:50 AM,B314,KYUNG KU KIM
52620,BUS,475,Undergrad Teachng Practicum I,,EXP+,TUT,T91,3,APPT,1:00 AM,1:00 AM,-,Jaeyeong Lee
52627,BUS,475,Undergrad Teachng Practicum I,,EXP+,TUT,T92,3,APPT,1:00 AM,1:00 AM,-,Chih-mao Hsieh
56517,BUS,475,Undergrad Teachng Practicum I,,EXP+,TUT,T93,3,APPT,1:00 AM,1:00 AM,-,Noelle (Myunghun) Chung
56518,BUS,475,Undergrad Teachng Practicum I,,EXP+,TUT,T94,3,APPT,1:00 AM,1:00 AM,-,Soo Young Kwon
52634,BUS,475,Undergrad Teachng Practicum I,,EXP+,TUT,T95,3,APPT,1:00 AM,1:00 AM,-,Jeehong Kim
52635,BUS,475,Undergrad Teachng Practicum I,,EXP+,TUT,T96,3,APPT,1:00 AM,1:00 AM,-,Joung Hwa Choi
52636,BUS,475,Undergrad Teachng Practicum I,,EXP+,TUT,T97,3,APPT,1:00 AM,1:00 AM,-,Young-Won Ha
56612,BUS,475,Undergrad Teachng Practicum I,,EXP+,TUT,T98,3,APPT,1:00 AM,1:00 AM,-,Sung Sup Choi
56613,BUS,475,Undergrad Teachng Practicum I,,EXP+,TUT,T99,3,APPT,1:00 AM,1:00 AM,-,Dae Ryun Chang
56519,BUS,476,Undergrad Teachng Practicum II,,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,-,Dae Ryun Chang
56520,BUS,476,Undergrad Teachng Practicum II,,EXP+,TUT,T91,3,APPT,1:00 AM,1:00 AM,-,Young-Won Ha
52625,BUS,488,Internship,,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,-,Jeehong Kim
Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
52088,CSE,101,Computer Science Principles,TECH,LEC,90,3,TUTH,2:00 PM,3:20 PM,C105,Francois Rameau
52089,LAB,L90,W,3:30 PM,4:50 PM,C105,,,,,,
52090,CSE,114,Intro to Object-Oriented Programming,TECH,LEC,90,4,MW,2:00 PM,3:20 PM,C103,Antonino Mione
52091,LAB,L90,TUTH,2:00 PM,3:20 PM,C103,,,,,,
52092,CSE,214,Data Structures,,LEC,90,4,TUTH,10:30 AM,11:50 AM,C103,Byungkon Kang
52093,REC,R90,W,2:00 PM,2:55 PM,C107,,,,,,
52094,CSE,215,Foundations of Comp Science,,LEC,90,4,MW,9:00 AM,10:20 AM,C107,Zhoulai Fu
52095,REC,R90,M,12:30 PM,1:25 PM,C107,,,,,,
52175,CSE,216,Programming Abstractions,,LEC,90,4,TUTH,10:30 AM,11:50 AM,B203,Youngmin Kwon
52176,REC,R90,W,2:00 PM,2:55 PM,B203,,,,,,
52145,CSE,220,Systems Fundamentals I,,LEC,90,4,TUTH,12:30 PM,1:50 PM,B203,Amos Omondi
52144,REC,R90,TH,2:00 PM,2:55 PM,B203,,,,,,
52096,CSE,303,Intro to the Theory of Computation,,LEC,90,3,TUTH,3:30 PM,4:50 PM,B204,Amos Omondi
56521,CSE,306,Operating Systems,"Partially fulfills: ESI,EXP+, SBS+, STEM+",LEC,90,3,TUTH,12:30 PM,1:50 PM,B204,Youngmin Kwon
56522,CSE,310,Computer Networks,,LEC,90,3,MW,3:30 PM,4:50 PM,B204,Aruna Balasubramanian
52149,CSE,312,"Legal, Social, and Ethical Issues in Info Systems","CER, ESI, STAS",LEC,90,3,MW,10:30 AM,11:50 AM,B205,Amos Omondi
52199,CSE,316,Fundamentals of Software Development,"Partially fulfills: ESI,EXP+, SBS+, STEM+",LEC,90,3,MW,9:00 AM,10:20 AM,B207,Antonino Mione
52104,CSE,320,Systems Fundamentals II,,LEC,90,3,TUTH,12:30 PM,1:50 PM,B205,Yoon-Seok Yang
52191,CSE,327,Fundamentals of Computer Vision,,LEC,90,3,TUTH,3:30 PM,4:50 PM,B314,Jihoon Ryoo
56523,CSE,331,Fundamentals of Computer Security,,LEC,90,3,TUTH,10:30 AM,11:50 AM,B207,Antonino Mione
56524,CSE,352,Artificial Intelligence,,LEC,90,3,MW,2:00 PM,3:20 PM,B207,Niranjan Balasubramanian
52148,CSE,416,Software Engineering,"Partially fulfills: ESI,EXP+, SBS+, STEM+",LEC,90,3,TUTH,5:00 PM,6:20 PM,B105,Jihoon Ryoo
52109,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,-,Arthur Lee
52173,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,T92,3,APPT,1:00 AM,1:00 AM,-,Youngmin Kwon
52174,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,T93,3,APPT,1:00 AM,1:00 AM,-,Antonino Mione
52196,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,T96,3,APPT,1:00 AM,1:00 AM,-,Amos Omondi
52097,CSE,487,Research in Computer Science,,TUT,T90,0 to 6,APPT,1:00 AM,1:00 AM,-,Arthur Lee
52102,CSE,487,Research in Computer Science,,TUT,T91,0 to 6,APPT,1:00 AM,1:00 AM,-,Jihoon Ryoo
52103,CSE,487,Research in Computer Science,,TUT,T92,0 to 6,APPT,1:00 AM,1:00 AM,-,Antonino Mione
52107,CSE,487,Research in Computer Science,,TUT,T95,0 to 6,APPT,1:00 AM,1:00 AM,-,Youngmin Kwon
56525,CSE,508,Network Security,,LEC,90,3,TUTH,10:30 AM,11:50 AM,B207,Antonino Mione
52355,CSE,512,Machine Learning,,LEC,90,3,TUTH,2:00 PM,3:20 PM,A116,Byungkon Kang
52044,CSE,522,Special Project in Computer Sc,,TUT,T92,3,APPT,1:00 AM,1:00 AM,-,Youngmin Kwon
52047,CSE,522,Special Project in Computer Sc,,TUT,T95,3,APPT,1:00 AM,1:00 AM,-,Arthur Lee
52048,CSE,523,Advanced Project in Computer S,,TUT,T90,3,APPT,1:00 AM,1:00 AM,-,Jihoon Ryoo
52049,CSE,523,Advanced Project in Computer S,,TUT,T92,3,APPT,1:00 AM,1:00 AM,-,Youngmin Kwon
52052,CSE,523,Advanced Project in Computer S,,TUT,T95,3,APPT,1:00 AM,1:00 AM,-,Arthur Lee
52053,CSE,524,Advanced Project in Computer S,,TUT,T90,3,APPT,1:00 AM,1:00 AM,-,Jihoon Ryoo
52054,CSE,524,Advanced Project in Computer S,,TUT,T92,3,APPT,1:00 AM,1:00 AM,-,Youngmin Kwon
52057,CSE,524,Advanced Project in Computer S,,TUT,T95,3,APPT,1:00 AM,1:00 AM,-,Arthur Lee
52146,CSE,540,Theory of Computation,,LEC,90,3,MW,2:00 PM,3:20 PM,A312,Seung Soo Park
52058,CSE,593,Independent Study in Comp Sci,,TUT,T90,1 to 9,APPT,1:00 AM,1:00 AM,-,Arthur Lee
52059,CSE,593,Independent Study in Comp Sci,,TUT,T91,1 to 9,APPT,1:00 AM,1:00 AM,-,Byungkon Kang
52060,CSE,593,Independent Study in Comp Sci,,TUT,T92,1 to 9,APPT,1:00 AM,1:00 AM,-,Youngmin Kwon
52061,CSE,593,Independent Study in Comp Sci,,TUT,T93,1 to 9,APPT,1:00 AM,1:00 AM,-,Jihoon Ryoo
52062,CSE,593,Independent Study in Comp Sci,,TUT,T94,1 to 9,APPT,1:00 AM,1:00 AM,-,Dennis Wong
52065,CSE,596,MS Internship Prog Off-Campus,,TUT,T92,1,APPT,1:00 AM,1:00 AM,-,Youngmin Kwon
52068,CSE,596,MS Internship Prog Off-Campus,,TUT,T95,1,APPT,1:00 AM,1:00 AM,-,Arthur Lee
52070,CSE,599,M.S. Thesis Research,,TUT,T92,1 to 12,APPT,1:00 AM,1:00 AM,-,Youngmin Kwon
52073,CSE,599,M.S. Thesis Research,,TUT,T95,1 to 12,APPT,1:00 AM,1:00 AM,-,Arthur Lee
56526,CSE,600,Topics in Modern Computer Science,,LEC,90,0-1,F,2:00 PM,2:50 PM,A116,Amos Omondi
52112,CSE,644,Seminar in Databases,,SEM,S90,1,TU,6:30 PM,7:50 PM,B203,Arthur Lee
52201,CSE,646,Seminar in Artificial Intelligence,,SEM,S90,1,TU,6:30 PM,7:50 PM,B204,Byungkon Kang
52113,CSE,649,Seminar in Operating Systems,,SEM,S90,1,TU,6:30 PM,7:50 PM,B207,Youngmin Kwon
56537,CSE,650,Seminar in Architecture,,SEM,S90,1,TU,6:30 PM,7:50 PM,B105,Yoon-Seok Yang
52257,CSE,656,Seminar in Computer Vision,,SEM,S90,1,TU,6:30 PM,7:50 PM,B205,Francois Rameau
52202,CSE,658,Seminar on Mobile and Wireless Net,,SEM,S90,1,TU,6:30 PM,7:50 PM,B206,Jihoon Ryoo
52075,CSE,696,PhD Internship Proj Off-Campus,,TUT,T92,1 to 3,APPT,1:00 AM,1:00 AM,-,Youngmin Kwon
52078,CSE,696,PhD Internship Proj Off-Campus,,TUT,T95,1 to 3,APPT,1:00 AM,1:00 AM,-,Arthur Lee
52098,CSE,698,Practicum in Teaching,,TUT,T91,0 to 3,APPT,1:00 AM,1:00 AM,-,Amos Omondi
52099,CSE,698,Practicum in Teaching,,TUT,T92,0 to 3,APPT,1:00 AM,1:00 AM,-,Youngmin Kwon
52100,CSE,698,Practicum in Teaching,,TUT,T93,0 to 3,APPT,1:00 AM,1:00 AM,-,Antonino Mione
52101,CSE,698,Practicum in Teaching,,TUT,T95,0 to 3,APPT,1:00 AM,1:00 AM,-,Arthur Lee
52079,CSE,699,Dissertation Resrch on Campus,,TUT,T90,0 to 9,APPT,1:00 AM,1:00 AM,-,Jihoon Ryoo
52080,CSE,699,Dissertation Resrch on Campus,,TUT,T92,0 to 9,APPT,1:00 AM,1:00 AM,-,Youngmin Kwon
52081,CSE,699,Dissertation Resrch on Campus,,TUT,T94,0 to 9,APPT,1:00 AM,1:00 AM,-,Arthur Lee
52082,CSE,699,Dissertation Resrch on Campus,,TUT,T95,0 to 9,APPT,1:00 AM,1:00 AM,-,Dennis Wong
52083,CSE,700,Dissertation off Campus Domest,,TUT,T90,0 to 9,APPT,1:00 AM,1:00 AM,-,Arthur Lee
52084,CSE,700,Dissertation off Campus Domest,,TUT,T92,0 to 9,APPT,1:00 AM,1:00 AM,-,Youngmin Kwon
52087,CSE,700,Dissertation off Campus Domest,,TUT,T95,0 to 9,APPT,1:00 AM,1:00 AM,-,Arthur Lee
Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
52368,ESE,118,Digital Logic Design,TECH,LEC,90,4,TUTH,10:30AM,11:50AM,A704,Ji-Woong Lee
52369,LAB,L90,TH,2:00PM,4:50PM,C607,,,,,,
52358,ESE,123,"Introduction to Electrical and Computer Engineering*Note: Extra course fee $73",TECH,LEC,90,4,MF,12:30 PM,1:50 PM,B206,Sangjin Hong
52359,LAB,L90,TU,5:00PM,7:50PM,C508,,,,,,
56831,ESE,124,Programming Fundamentals,TECH,LEC,90,4,M,6:30 PM,8:50 PM,B614,Sangjin Hong
56832,LAB,L90,W,6:30 PM,9:20 PM,B614,,,,,,
56528,ESE,224,Advanced Programming and Data Structures,,LEC,90,4,TUTH,12:30 PM,1:50 PM,B613,Sangjin Hong
56527,LAB,L90,F,2:00PM,5:00PM,B613,,,,,,
56477,ESE,271,Electrical Circuit Analysis,,LEC,90,3,MW,9:00AM,10:20AM,B613,Ji-Woong Lee
56530,ESE,272,Electronics,,LEC,90,4,TUTH,10:30AM,11:50AM,B613,Sangjin Hong
56529,LAB,L90,TU,2:00PM,4:50PM,C508,,,,,,
56491,ESE,273,Microelectronic Circuits,,LEC,90,3,MW,2:00PM,3:20PM,B613,Gilwon Yoon
56473,ESE,305,Deterministic Signals and Systems,,LEC,90,3,MW,10:30AM,11:50AM,B613,Gilwon Yoon
56492,ESE,306,Random Signals and Systems,,LEC,90,3,MW,5:00PM,6:20PM,B104,Ji-Woong Lee
52360,ESE,475,Undergraduate Teaching Practicum,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,-,Sangjin Hong
52361,ESE,476,Undergraduate Teaching Practicum,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,-,Sangjin Hong
52362,ESE,488,Internship in Electrical/Computer Engineering,EXP+,TUT,90,3,APPT,1:00 AM,1:00 AM,-,Sangjin Hong
56475,ESE,488,Internship in Electrical/Computer Engineering,EXP+,TUT,90,3,APPT,1:00 AM,1:00 AM,-,Ji-Woong Lee
52363,ESE,499,Research in Electrical Sciences,,TUT,90,0 to 3,APPT,1:00 AM,1:00 AM,-,Sangjin Hong
56476,ESE,499,Research in Electrical Sciences,,TUT,90,0 to 3,APPT,1:00 AM,1:00 AM,-,Ji-Woong Lee
Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
52364,EST,100,"Designing, Producing & Presenting Multimedia Projects",TECH,LEC,90,3,MW,5:00 PM,6:20 PM,A115,Maurice Bess
52203,EST,194,Decision-making,QPS,LEC,90,3,MW,2:00 PM,3:20 PM,A704,Mark Whitaker
52177,EST,202,"Introduction to Science, Technology, and Society Studies",TECH,LEC,90,3,MW,3:30 PM,4:50 PM,B207,Anthony Pennings
52221,EST,204,Modern Digital Tech Innovation,TECH,LEC,90,3,TUTH,10:30 AM,11:50 AM,B205,James Larson
52204,EST,207,Interaction Design,TECH,LEC,90,3,TUTH,2:00 PM,3:20 PM,B207,Neal Dreamson
52365,EST,221,Multimedia for Online Content Platforms,TECH,LEC,90,3,MW,5:00 PM,6:20 PM,A314,Cornelius Bradter
52039,EST,230,Information and Communications Technology for Sustainable Development,TECH,LEC,90,3,TUTH,5:00 PM,6:20 PM,B203,Saebom Jin
52106,EST,240,Visual Rhetoric and Information Technology,TECH,LEC,90,3,TUTH,3:30 PM,4:50 PM,B203,Anthony Pennings
52147,EST,304,Communication for Engineers and Scientists,,LEC,90,3,TUTH,12:30 PM,1:50 PM,B314,Su Hyeong Kim
52040,EST,305,Applications Software for Information Management,,LEC,90,3,MW,2:00 PM,3:20 PM,A115,Maurice Bess
52108,EST,310,Design of Computer Games,TECH,LEC,90,3,MW,10:30 AM,11:50 AM,A312,Maurice Bess
52142,EST,320,Communication Technology Systems,STAS,LEC,90,3,TUTH,3:30 PM,4:50 PM,B105,Suzana Brown
52178,EST,325,Technology in the Workplace,STAS,LEC,90,3,TUTH,12:30 PM,1:50 PM,A312,Gayoung Park
52140,EST,326,Management for Engineers,,LEC,90,3,TUTH,5:00 PM,6:20 PM,A211,Joseph Cabuay
52222,EST,327,"Systems Engineering Management, Elements of Product Design and Development",,LEC,90,3,TUTH,9:00 AM,10:20 AM,B207,Hyoung Ryul Ma
52166,EST,331,Engineering Ethics,STAS,LEC,90,3,TUTH,3:30 PM,4:50 PM,B207,Joseph Cabuay
52179,EST,371,Data Science Management,,LEC,90,3,TUTH,5:00 PM,6:20 PM,B205,TBA
